,0
0,Rory McIlroy
1,Patrick Cantlay
2,Webb Simpson
3,Brooks Koepka
4,Justin Thomas
5,Jon Rahm
6,Adam Scott
7,Tommy Fleetwood
8,Paul Casey
9,Justin Rose
10,Xander Schauffele
11,Hideki Matsuyama
12,Dustin Johnson
13,Matt Kuchar
14,Rickie Fowler
15,Tony Finau
16,Lucas Glover
17,Henrik Stenson
18,Jim Furyk
19,Bryson DeChambeau
20,Patrick Reed
21,Jason Day
22,Gary Woodland
23,Chez Reavie
24,Sungjae Im
25,Louis Oosthuizen
26,Sergio Garcia
27,Scott Piercy
28,Rory Sabbatini
29,Kevin Kisner
30,Jason Kokrak
31,Marc Leishman
32,Daniel Berger
33,Vaughn Taylor
34,Jordan Spieth
35,Byeong Hun An
36,Charles Howell III
37,Ian Poulter
38,Russell Knox
39,Brandt Snedeker
40,Matthew Fitzpatrick
41,Adam Hadwin
42,Denny McCarthy
43,Bud Cauley
44,Abraham Ancer
45,Tyrrell Hatton
46,Graeme McDowell
47,Wyndham Clark
48,Joaquin Niemann
49,Talor Gooch
50,J.T. Poston
51,Zach Johnson
52,Billy Horschel
53,Andrew Putnam
54,Michael Thompson
55,Ryan Palmer
56,Nate Lashley
57,Nick Taylor
58,Bubba Watson
59,Harold Varner III
60,Dylan Frittelli
61,Aaron Wise
62,Peter Malnati
63,Kevin Streelman
64,Jhonattan Vegas
65,Corey Conners
66,Rafa Cabrera Bello
67,Aaron Baddeley
68,Cameron Tringale
69,Matt Jones
70,Emiliano Grillo
71,Cameron Smith
72,Adam Schenk
73,Danny Willett
74,Johnson Wagner
75,Keegan Bradley
76,Martin Laird
77,Russell Henley
78,Jonas Blixt
79,Ryan Armour
80,Sebastián Muñoz
81,Mackenzie Hughes
82,Nick Watney
83,Kiradech Aphibarnrat
84,Sam Ryder
85,Joel Dahmen
86,Troy Merritt
87,Shawn Stefani
88,Scott Brown
89,Si Woo Kim
90,C.T. Pan
91,Francesco Molinari
92,Ryan Moore
93,Josh Teater
94,Cameron Davis
95,Sepp Straka
96,Sam Burns
97,Danny Lee
98,Brian Stuard
99,Hank Lebioda
100,Brian Harman
101,Kevin Tway
102,Keith Mitchell
103,Dominic Bozzelli
104,Roger Sloan
105,J.J. Spaun
106,Adam Svensson
107,Alex Noren
108,Harris English
109,Bill Haas
110,Pat Perez
111,Brice Garnett
112,Carlos Ortiz
113,Kyle Stanley
114,Sung Kang
115,Richy Werenski
116,Max Homa
117,Roberto Castro
118,Kevin Na
119,Trey Mullinax
120,Stephan Jaeger
121,Austin Cook
122,Roberto Díaz
123,Luke List
124,Wes Roach
125,Chase Wright
126,Kramer Hickok
127,Jimmy Walker
128,Andrew Landry
129,Patton Kizzire
130,Bronson Burgoon
131,Ryan Blaum
132,Kyoung-Hoon Lee
133,Alex Prugh
134,Phil Mickelson
135,Jason Dufner
136,Hudson Swafford
137,Brian Gay
138,Charley Hoffman
139,Patrick Rodgers
140,Beau Hossler
141,Cameron Champ
142,Ben Silverman
143,José de Jesús Rodríguez
144,Branden Grace
145,Scott Stallings
146,Julián Etulain
147,Chesson Hadley
148,Adam Long
149,Jim Knous
150,Fabián Gómez
151,Jonathan Byrd
152,Sam Saunders
153,Peter Uihlein
154,Brandon Harkins
155,Kelly Kraft
156,Ernie Els
157,Tyler Duncan
158,Scott Langley
159,Tom Hoge
160,Robert Streb
161,Chris Stroud
162,David Hearn
163,Anirban Lahiri
164,Joey Garber
165,J.B. Holmes
166,Jim Herman
167,Sangmoon Bae
168,Anders Albertson
169,Ollie Schniederjans
170,Brendan Steele
171,Brady Schnell
172,Hunter Mahan
173,Freddie Jacobson
174,Curtis Luck
175,Seamus Power
176,Alex Cejka
177,Kyle Jones
178,Cody Gribble
179,J.J. Henry
180,Seth Reeves
181,"Ted Potter, Jr."
182,Rod Pampling
183,Martin Trainer
184,Whee Kim
185,John Chin
186,Satoshi Kodaira
187,Michael Kim
